subID	 genre	 age	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Evaluation_Score	 Validation_Type	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Jitter
40	1	18	prosody	1	CNh1_2.wav	SNnegh2_2.wav	CN_SNneg	2	1	valid	1.6283	1.1344	h1	h2	0	1	2.6283	3.7385	4.8729	5.8729	8.4601	0.0043059	1.0018	2.6297	3.74	4.8744	5.8746	7.9619	2.0872	1.1102
40	1	18	prosody	1	CPh2_10.wav	SNposh4_10.wav	CP_SNpos	10	3	valid	1.7423	0.81952	h2	h4	8.4601	9.4601	11.2025	11.7248	12.5444	13.5444	18.3504	8.4867	9.4619	11.2039	11.7267	12.5457	13.5461	17.8521	4.3061	0.52237
40	1	18	prosody	1	CNh1_16.wav	SPnegh2_16.wav	CN_SPneg	16	2	valid	1.5868	0.71562	h1	h2	18.3504	19.3504	20.9372	22.0828	22.7984	23.7984	27.4816	18.3707	19.3524	20.9386	22.0845	22.7998	23.8002	26.9834	3.1832	1.1456
40	1	18	prosody	1	CPf4_15.wav	SNposf2_15.wav	CP_SNpos	15	3	directvalide	1.9186	1.0536	f4	f2	27.4816	28.4816	30.4002	31.1055	32.1591	33.1591	35.7488	27.5011	28.4833	30.4016	31.1073	32.1606	33.1606	35.2503	2.0897	0.7053
40	1	18	prosody	1	CNf1_2.wav	SPnegh4_2.wav	CN_SPneg	2	3	directvalide	1.6943	1.4832	f1	h4	35.7488	36.7488	38.4431	39.6658	41.149	42.149	46.1264	35.7707	36.7503	38.4445	39.6675	41.1504	42.1507	45.6281	3.4774	1.2227
40	1	18	prosody	1	CPh3_1.wav	SNposf1_1.wav	CP_SNpos	1	2	valid	2.0823	1.0262	h3	f1	46.1264	47.1264	49.2087	50.0112	51.0374	52.0374	53.527	46.154	47.1284	49.2101	50.0126	51.0388	52.0391	53.0287	0.98959	0.80247
40	1	18	prosody	1	CPh2_6.wav	SPposh4_6.wav	CP_SPpos	6	4	valid	2.1103	1.0307	h2	h4	53.527	54.527	56.6373	57.8582	58.8889	59.8889	61.645	53.5493	54.5287	56.6386	57.86	58.8903	59.8906	61.1467	1.2561	1.221
40	1	18	prosody	1	CPh2_15.wav	SPposf1_15.wav	CP_SPpos	15	5	valid	1.6427	1.0563	h2	f1	61.645	62.645	64.2877	65.694	66.7503	67.7503	69.8425	61.6622	62.647	64.289	65.6954	66.7516	67.7516	69.3438	1.5922	1.4063
40	1	18	prosody	1	CNf4_5.wav	SPnegf1_5.wav	CN_SPneg	5	4	valid	2.2631	0.95098	f4	f1	69.8425	70.8425	73.1056	73.986	74.9369	75.9369	78.9441	69.8642	70.844	73.107	73.9874	74.9383	75.9386	78.4457	2.5071	0.88042
40	1	18	prosody	1	CNf3_13.wav	SNnegh3_13.wav	CN_SNneg	13	2	valid	2.2212	0.97181	f3	h3	78.9441	79.9441	82.1653	83.4105	84.3823	85.3823	86.7151	78.9601	79.9459	82.1667	83.4125	84.3837	85.3841	86.2169	0.83282	1.2452
40	1	18	prosody	1	CPf3_10.wav	SPposh1_10.wav	CP_SPpos	10	2	valid	1.7297	0.77653	f3	h1	86.7151	87.7151	89.4448	90.534	91.3106	92.3106	93.7761	86.7308	87.7166	89.4462	90.5355	91.312	92.3122	93.2777	0.96558	1.0892
40	1	18	prosody	1	CNh3_7.wav	SNnegf4_7.wav	CN_SNneg	7	1	valid	2.2218	1.3953	h3	f4	93.7761	94.7761	96.998	98.2978	99.6931	100.6931	102.089	93.7921	94.7778	96.9994	98.2993	99.6945	100.6948	101.5907	0.89594	1.2998
40	1	18	prosody	1	CPh3_2.wav	SPposf1_2.wav	CP_SPpos	2	5	valid	1.9234	1.5529	h3	f1	102.089	103.089	105.0125	105.9563	107.5091	108.5091	109.8649	102.104	103.0901	105.0139	105.9577	107.5106	108.5108	109.3665	0.8557	0.94381
40	1	18	prosody	1	CNf4_11.wav	SNnegf2_11.wav	CN_SNneg	11	2	valid	2.3907	0.90413	f4	f2	109.8649	110.8649	113.2555	114.4978	115.4019	116.4019	119.1532	109.8807	110.8667	113.2569	114.4995	115.4034	116.4037	118.6549	2.2513	1.2423
40	1	18	prosody	1	CPf2_4.wav	SNposh4_4.wav	CP_SNpos	4	4	valid	2.28	1.2368	f2	h4	119.1532	120.1532	122.4332	123.3434	124.5802	125.5802	128.3939	119.1688	120.1549	122.4345	123.345	124.5816	125.582	127.8957	2.3137	0.91019
40	1	18	prosody	1	CNh1_6.wav	SNnegf1_6.wav	CN_SNneg	6	1	valid	2.0758	1.1616	h1	f1	128.3939	129.3939	131.4697	132.8105	133.9722	134.9722	137.1506	128.4105	129.3957	131.4711	132.8121	133.9735	134.974	136.6524	1.6784	1.3408
40	1	18	prosody	1	CNf2_14.wav	SPnegh4_14.wav	CN_SPneg	14	1	valid	2.2052	1.1765	f2	h4	137.1506	138.1506	140.3558	141.2574	142.4339	143.4339	144.7235	137.1662	138.1521	140.3572	141.259	142.4353	143.4354	144.225	0.78961	0.90164
40	1	18	prosody	1	CPh2_5.wav	SPposf1_5.wav	CP_SPpos	5	4	valid	2.2688	0.86973	h2	f1	144.7235	145.7235	147.9924	148.7843	149.654	150.654	152.9186	144.7404	145.7252	147.9937	148.786	149.6555	150.6559	152.4204	1.7645	0.79196
40	1	18	prosody	1	CNf4_8.wav	SNnegf1_8.wav	CN_SNneg	8	3	directvalide	2.4726	0.94544	f4	f1	152.9186	153.9186	156.3912	157.0863	158.0317	159.0317	159.9031	152.9352	153.9203	156.3926	157.0879	158.0331	159.0334	159.4048	0.37142	0.69509
40	1	18	prosody	1	CPf4_1.wav	SPposh1_1.wav	CP_SPpos	1	4	valid	2.3239	0.88263	f4	h1	159.9031	160.9031	163.227	164.4958	165.3785	166.3785	168.4184	159.9201	160.9048	163.2284	164.4973	165.3798	166.38	167.9199	1.54	1.2688
40	1	18	prosody	1	CNh1_3.wav	SNnegf2_3.wav	CN_SNneg	3	4	valid	2.4936	1.1871	h1	f2	168.4184	169.4184	171.912	172.4652	173.6524	174.6524	176.8558	168.4395	169.4202	171.9134	172.4669	173.6537	174.654	176.3574	1.7034	0.55324
40	1	18	prosody	1	CPf2_2.wav	SNposf3_2.wav	CP_SNpos	2	3	directvalide	1.6952	1.1631	f2	f3	176.8558	177.8558	179.5509	180.4418	181.6048	182.6048	184.591	176.8721	177.8574	179.5523	180.4435	181.6063	182.6066	184.0928	1.4862	0.89084
40	1	18	prosody	1	CNh3_15.wav	SPnegh4_15.wav	CN_SPneg	15	5	valid	2.0439	1.0458	h3	h4	184.591	185.591	187.635	188.731	189.7768	190.7768	192.3936	184.6077	185.5926	187.6369	188.7326	189.7782	190.7784	191.8952	1.1168	1.096
40	1	18	prosody	1	CPf2_14.wav	SNposh2_14.wav	CP_SNpos	14	3	directvalide	2.4813	1.0816	f2	h2	192.3936	193.3936	195.8749	197.0677	198.1493	199.1493	200.09	192.414	193.3953	195.8763	197.0693	198.1507	199.1508	199.5915	0.44069	1.1928
40	1	18	prosody	1	CNf1_10.wav	SPnegf4_10.wav	CN_SPneg	10	3	directvalide	2.1186	1.0106	f1	f4	200.09	201.09	203.2086	203.7757	204.7863	205.7863	207.0109	200.1071	201.0917	203.21	203.7773	204.7877	205.7881	206.5127	0.72465	0.56705
40	1	18	prosody	1	CNf3_1.wav	SNnegf1_1.wav	CN_SNneg	1	2	valid	2.1499	1.3081	f3	f1	207.0109	208.0109	210.1608	210.9591	212.2673	213.2673	215.1402	207.0275	208.0125	210.1622	210.961	212.2687	213.2688	214.6417	1.373	0.79834
40	1	18	prosody	1	CPf4_12.wav	SPposh3_12.wav	CP_SPpos	12	5	valid	2.2631	1.0081	f4	h3	215.1402	216.1402	218.4033	218.9864	219.9945	220.9945	222.4379	215.1558	216.1419	218.4048	218.988	219.9959	220.9961	221.9395	0.94337	0.58308
40	1	18	prosody	1	CPh2_13.wav	SNposf3_13.wav	CP_SNpos	13	3	directvalide	1.8256	1.0618	h2	f3	222.4379	223.4379	225.2635	226.5141	227.5759	228.5759	229.4892	222.4541	223.4395	225.2649	226.5155	227.5773	228.5775	228.9908	0.41329	1.2506
40	1	18	prosody	1	CPf2_11.wav	SNposh1_11.wav	CP_SNpos	11	2	valid	2.5876	0.83923	f2	h1	229.4892	230.4892	233.0768	233.7625	234.6017	235.6017	237.6436	229.5035	230.4911	233.0782	233.764	234.6034	235.6036	237.1455	1.5419	0.68572
40	1	18	prosody	1	CPf4_9.wav	SNposh3_9.wav	CP_SNpos	9	3	directvalide	2.0725	1.121	f4	h3	237.6436	238.6436	240.7161	241.6561	242.7771	243.7771	245.159	237.6598	238.6453	240.7175	241.6579	242.7786	243.7787	244.6606	0.88194	0.94004
40	1	18	prosody	1	CPf2_7.wav	SNposh2_7.wav	CP_SNpos	7	4	valid	1.8314	1.0938	f2	h2	245.159	246.159	247.9904	248.718	249.8118	250.8118	253.2611	245.1763	246.1607	247.9918	248.7203	249.8132	250.8135	252.7628	1.9493	0.72764
40	1	18	prosody	1	CPf2_13.wav	SPposh4_13.wav	CP_SPpos	13	4	valid	2.0821	0.95528	f2	h4	253.2611	254.2611	256.3432	256.8614	257.8167	258.8167	260.8781	253.2771	254.2626	256.3447	256.8632	257.8181	258.8184	260.3798	1.5614	0.51823
40	1	18	prosody	1	CNf1_5.wav	SNnegf4_5.wav	CN_SNneg	5	2	valid	1.9802	1.2055	f1	f4	260.8781	261.8781	263.8583	264.7933	265.9989	266.9989	268.1258	260.8938	261.8799	263.8597	264.7949	266.0002	267.0005	267.6274	0.6269	0.93502
40	1	18	prosody	1	CPf4_16.wav	SNposf3_16.wav	CP_SNpos	16	4	valid	2.2631	0.72853	f4	f3	268.1258	269.1258	271.3888	272.7316	273.4601	274.4601	277.0602	268.144	269.1273	271.3902	272.7333	273.4615	274.4617	276.5618	2.1001	1.3427
