subID	 genre	 age	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Evaluation_Score	 Validation_Type	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Jitter
44	2	20	semantic	5	CNh1_14.wav	SNnegf3_14.wav	CN_SNneg	14	1	valid	1.9124	1.1576	h1	f3	0	1	2.9124	3.7334	4.891	5.891	8.5585	0.002523	1.0018	2.9138	3.7349	4.8924	5.8929	8.0604	2.1675	0.82102
44	2	20	semantic	5	CNf4_10.wav	SPnegh1_10.wav	CN_SPneg	10	4	valid	2.3613	1.1431	f4	h1	8.5585	9.5585	11.9198	13.1836	14.3266	15.3266	17.7266	8.5757	9.5603	11.9211	13.185	14.328	15.3285	17.2285	1.9	1.2638
44	2	20	semantic	5	CNf4_5.wav	SPnegf1_5.wav	CN_SPneg	5	4	valid	2.2631	0.95098	f4	f1	17.7266	18.7266	20.9897	21.7418	22.6928	23.6928	24.6689	17.7441	18.7285	20.9911	21.7437	22.6942	23.6946	24.1707	0.47611	0.75214
44	2	20	semantic	5	CNf2_8.wav	SPnegf4_8.wav	CN_SPneg	8	4	valid	2.4114	1.1029	f2	f4	24.6689	25.6689	28.0804	29.1802	30.2831	31.2831	32.1251	24.687	25.6708	28.0817	29.1819	30.2845	31.2849	31.6269	0.34197	1.0998
44	2	20	semantic	5	CPh3_4.wav	SNposf4_4.wav	CP_SNpos	4	1	valid	2.3227	1.6262	h3	f4	32.1251	33.1251	35.4477	35.9779	37.6041	38.6041	41.0468	32.1415	33.1269	35.4491	35.9797	37.6055	38.6059	40.5486	1.9427	0.53018
44	2	20	semantic	5	CNh2_14.wav	SPnegh1_14.wav	CN_SPneg	14	4	valid	1.8744	1.4469	h2	h1	41.0468	42.0468	43.9213	45.3238	46.7708	47.7708	50.0419	41.0639	42.0487	43.9226	45.3256	46.7721	47.7726	49.5437	1.7711	1.4025
44	2	20	semantic	5	CPf3_2.wav	SNposf4_2.wav	CP_SNpos	2	3	directvalide	1.923	1.303	f3	f4	50.0419	51.0419	52.9649	53.9391	55.2421	56.2421	57.3014	50.0585	51.0444	52.9663	53.9409	55.244	56.2443	56.8037	0.55934	0.97419
44	2	20	semantic	5	CPf3_6.wav	SNposh2_6.wav	CP_SNpos	6	1	valid	2.457	0.97585	f3	h2	57.3014	58.3014	60.7584	62.1619	63.1378	64.1378	65.8281	57.3174	58.3029	60.7598	62.1637	63.1391	64.1395	65.3298	1.1903	1.4036
44	2	20	semantic	5	CNh3_15.wav	SNnegf2_15.wav	CN_SNneg	15	1	valid	2.0439	0.95492	h3	f2	65.8281	66.8281	68.8721	70.2604	71.2153	72.2153	73.5363	65.8442	66.8299	68.8734	70.2619	71.2167	72.2168	73.0378	0.82098	1.3883
44	2	20	semantic	5	CNf1_7.wav	SPnegh1_7.wav	CN_SPneg	7	4	valid	2.0374	1.3312	f1	h1	73.5363	74.5363	76.5737	78.0566	79.3878	80.3878	82.6759	73.5523	74.5377	76.575	78.0585	79.3891	80.3895	82.1777	1.7882	1.4829
44	2	20	semantic	5	CPf4_1.wav	SNposh4_1.wav	CP_SNpos	1	2	valid	2.3239	1.1061	f4	h4	82.6759	83.6759	85.9998	87.1551	88.2612	89.2612	90.0395	82.6925	83.6777	86.0011	87.1569	88.2626	89.263	89.5414	0.27832	1.1553
44	2	20	semantic	5	CPh4_13.wav	SPposh1_13.wav	CP_SPpos	13	5	valid	2.061	0.73794	h4	h1	90.0395	91.0395	93.1005	93.9251	94.663	95.663	97.019	90.0565	91.0413	93.1019	93.9269	94.6644	95.6647	96.5207	0.85595	0.82456
44	2	20	semantic	5	CPf1_9.wav	SNposh4_9.wav	CP_SNpos	9	2	valid	1.917	1.1514	f1	h4	97.019	98.019	99.936	100.9197	102.071	103.071	104.4258	97.0401	98.0209	99.9374	100.921	102.0724	103.0728	103.9276	0.85475	0.9837
44	2	20	semantic	5	CPh2_5.wav	SNposh1_5.wav	CP_SNpos	5	2	valid	2.2688	0.9405	h2	h1	104.4258	105.4258	107.6946	109.1444	110.0849	111.0849	112.7518	104.4423	105.4278	107.696	109.1458	110.0862	111.0867	112.2536	1.167	1.4497
44	2	20	semantic	5	CNf3_8.wav	SNnegf1_8.wav	CN_SNneg	8	2	valid	2.4237	0.94544	f3	f1	112.7518	113.7518	116.1755	117.0117	117.9572	118.9572	120.7614	112.7684	113.7537	116.1772	117.0135	117.9586	118.9585	120.2628	1.3043	0.83622
44	2	20	semantic	5	CNf1_9.wav	SPnegh3_9.wav	CN_SPneg	9	5	valid	2.1994	1.4275	f1	h3	120.7614	121.7614	123.9608	124.741	126.1685	127.1685	128.3459	120.7775	121.7634	123.9622	124.7428	126.1699	127.1702	127.8476	0.67742	0.78024
44	2	20	semantic	5	CPh1_15.wav	SNposf4_15.wav	CP_SNpos	15	1	valid	1.4185	1.2773	h1	f4	128.3459	129.3459	130.7644	131.5804	132.8577	133.8577	135.6779	128.3626	129.3479	130.7658	131.5821	132.8591	133.8596	135.1798	1.3202	0.81593
44	2	20	semantic	5	CPf3_6.wav	SPposf4_6.wav	CP_SPpos	6	5	valid	2.457	1.3697	f3	f4	135.6779	136.6779	139.1348	140.3762	141.7459	142.7459	144.4478	135.6945	136.6796	139.1363	140.3779	141.7474	142.7477	143.9496	1.2019	1.2414
44	2	20	semantic	5	CPf2_8.wav	SPposh3_8.wav	CP_SPpos	8	5	valid	1.5232	1.0323	f2	h3	144.4478	145.4478	146.971	147.691	148.7233	149.7233	150.8211	144.4637	145.4497	146.9724	147.6927	148.7248	149.7251	150.323	0.59781	0.72004
44	2	20	semantic	5	CPf2_12.wav	SPposf1_12.wav	CP_SPpos	12	5	valid	1.8493	1.0322	f2	f1	150.8211	151.8211	153.6704	154.4622	155.4944	156.4944	158.4847	150.8393	151.8229	153.6718	154.4638	155.4957	156.4963	157.9865	1.4903	0.79176
44	2	20	semantic	5	CPf2_13.wav	SNposf4_13.wav	CP_SNpos	13	1	valid	2.0821	1.4005	f2	f4	158.4847	159.4847	161.5668	162.131	163.5314	164.5314	166.4349	158.5018	159.4864	161.5682	162.1326	163.5329	164.5332	165.9367	1.4035	0.56415
44	2	20	semantic	5	CNf4_16.wav	SNnegf2_16.wav	CN_SNneg	16	1	valid	2.1648	0.65016	f4	f2	166.4349	167.4349	169.5997	170.1717	170.8219	171.8219	172.781	166.4514	167.4366	169.6011	170.1734	170.8232	171.8235	172.2827	0.45914	0.57197
44	2	20	semantic	5	CPh2_12.wav	SNposf4_12.wav	CP_SNpos	12	2	valid	1.9761	1.0568	h2	f4	172.781	173.781	175.7571	176.8317	177.8884	178.8884	182.2726	172.7969	173.7829	175.7585	176.8331	177.8899	178.8902	181.7743	2.8842	1.0746
44	2	20	semantic	5	CNh1_3.wav	SNnegh3_3.wav	CN_SNneg	3	1	valid	2.4936	1.2218	h1	h3	182.2726	183.2726	185.7661	186.9526	188.1744	189.1744	191.0422	182.2878	183.2744	185.7676	186.9543	188.1758	189.1762	190.5441	1.3678	1.1864
44	2	20	semantic	5	CNh1_11.wav	SPnegh4_11.wav	CN_SPneg	11	5	valid	2.0088	0.9754	h1	h4	191.0422	192.0422	194.051	194.6972	195.6726	196.6726	197.8436	191.0605	192.0441	194.0523	194.6994	195.674	196.6744	197.3454	0.67101	0.64622
44	2	20	semantic	5	CNh2_16.wav	SPnegf3_16.wav	CN_SPneg	16	5	valid	2.0371	0.92299	h2	f3	197.8436	198.8436	200.8807	201.6632	202.5862	203.5862	204.5364	197.8627	198.8453	200.8821	201.6649	202.5876	203.5879	204.0381	0.4502	0.78247
44	2	20	semantic	5	CPh4_14.wav	SPposf1_14.wav	CP_SPpos	14	4	valid	2.2474	1.0714	h4	f1	204.5364	205.5364	207.7838	208.993	210.0643	211.0643	212.6128	204.554	205.5382	207.7852	208.9947	210.0657	211.0661	212.1146	1.0485	1.2092
44	2	20	semantic	5	CNh1_12.wav	SNnegf3_12.wav	CN_SNneg	12	2	valid	1.8513	0.8517	h1	f3	212.6128	213.6128	215.4642	216.019	216.8707	217.8707	220.8538	212.6297	213.6146	215.4655	216.0206	216.8721	217.8725	220.3555	2.483	0.55486
44	2	20	semantic	5	CNf3_10.wav	SNnegh3_10.wav	CN_SNneg	10	1	valid	2.1863	0.87905	f3	h3	220.8538	221.8538	224.0401	224.7694	225.6484	226.6484	227.7329	220.8783	221.8555	224.0414	224.7711	225.6499	226.6501	227.2346	0.58448	0.72932
44	2	20	semantic	5	CNh3_9.wav	SNnegh2_9.wav	CN_SNneg	9	2	valid	2.246	1.2279	h3	h2	227.7329	228.7329	230.9789	232.1713	233.3992	234.3992	235.3058	227.7493	228.7347	230.9803	232.1731	233.4006	234.401	234.8076	0.4066	1.1924
44	2	20	semantic	5	CPf3_8.wav	SNposf1_8.wav	CP_SNpos	8	1	valid	1.6434	0.87574	f3	f1	235.3058	236.3058	237.9492	238.6563	239.5321	240.5321	244.0636	235.3219	236.3076	237.9506	238.6581	239.5335	240.5338	243.5653	3.0315	0.70714
44	2	20	semantic	5	CNh1_3.wav	SPnegh2_3.wav	CN_SPneg	3	5	valid	2.4936	1.045	h1	h2	244.0636	245.0636	247.5572	249.0202	250.0651	251.0651	252.0599	244.0881	245.0653	247.5586	249.0219	250.0665	251.0668	251.5616	0.49478	1.463
44	2	20	semantic	5	CNh1_7.wav	SNnegf4_7.wav	CN_SNneg	7	1	valid	2.101	1.3953	h1	f4	252.0599	253.0599	255.1609	256.2559	257.6513	258.6513	259.9255	252.077	253.0617	255.1622	256.2578	257.6526	258.653	259.4272	0.77424	1.0951
44	2	20	semantic	5	CPh4_9.wav	SPposf3_9.wav	CP_SPpos	9	5	valid	2.5525	1.3322	h4	f3	259.9255	260.9255	263.478	264.0162	265.3485	266.3485	267.9409	259.9421	260.9277	263.4794	264.018	265.3498	266.3502	267.4426	1.0924	0.53827
44	2	20	semantic	5	CNh2_11.wav	SNnegh3_11.wav	CN_SNneg	11	2	valid	2.2526	0.85889	h2	h3	267.9409	268.9409	271.1935	272.6173	273.4762	274.4762	276.8528	267.9573	268.9427	271.1949	272.6191	273.4777	274.4778	276.3543	1.8766	1.4239
44	2	20	semantic	5	CPh2_1.wav	SPposf2_1.wav	CP_SPpos	1	5	valid	2.1184	1.0405	h2	f2	276.8528	277.8528	279.9712	280.6663	281.7068	282.7068	284.0768	276.869	277.8545	279.9726	280.668	281.7082	282.7086	283.5786	0.86998	0.69504
44	2	20	semantic	5	CNf3_15.wav	SPnegh4_15.wav	CN_SPneg	15	5	valid	2.2024	1.0458	f3	h4	284.0768	285.0768	287.2792	287.8191	288.8648	289.8648	290.8518	284.0926	285.0786	287.2805	287.8208	288.8662	289.8665	290.3535	0.48697	0.53986
44	2	20	semantic	5	CNf1_5.wav	SNnegf3_5.wav	CN_SNneg	5	1	valid	1.9802	1.1299	f1	f3	290.8518	291.8518	293.832	294.9942	296.1241	297.1241	298.3688	290.8683	291.8535	293.8334	294.9958	296.1254	297.1259	297.8706	0.7447	1.1622
44	2	20	semantic	5	CPh3_3.wav	SPposf3_3.wav	CP_SPpos	3	5	valid	1.8993	1.3758	h3	f3	298.3688	299.3688	301.268	302.7149	304.0907	305.0907	306.6107	298.3839	299.3705	301.2694	302.7165	304.092	305.0923	306.1124	1.0201	1.4469
44	2	20	semantic	5	CPh2_2.wav	SPposf2_2.wav	CP_SPpos	2	5	valid	1.663	1.3322	h2	f2	306.6107	307.6107	309.2737	310.1027	311.435	312.435	313.3876	306.6272	307.6128	309.2751	310.1046	311.4363	312.4366	312.8893	0.45264	0.829
44	2	20	semantic	5	CNh3_12.wav	SPnegf3_12.wav	CN_SPneg	12	5	valid	2.1734	0.96943	h3	f3	313.3876	314.3876	316.5611	317.5326	318.502	319.502	321.5029	313.4041	314.3894	316.5624	317.5343	318.5034	319.5036	321.0044	1.5008	0.97152
44	2	20	semantic	5	CPh1_5.wav	SPposh3_5.wav	CP_SPpos	5	4	valid	2.0209	1.0121	h1	h3	321.5029	322.5029	324.5237	325.1454	326.1576	327.1576	328.2289	321.519	322.5046	324.5251	325.1471	326.159	327.1592	327.7305	0.57129	0.6217
